Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.632579,-0.743259,-0.217739,-7.90545,-9.29186,-2.72307
-0.628541,-0.731452,-0.264412,-7.86165,-9.14115,-3.29904
-0.59211,-0.751367,-0.291296,-7.40191,-9.3917,-3.64109
-0.394478,-0.841405,-0.369358,-4.92711,-10.5185,-4.61882
-0.437045,-0.830157,-0.346166,-5.46175,-10.3775,-4.32744
-0.428368,-0.81392,-0.392472,-5.35424,-10.1738,-4.90662
-0.38542,-0.824333,-0.414641,-4.81016,-10.3067,-5.18496
-0.188322,-0.865978,-0.463268,-2.36212,-10.8246,-5.78774
-0.228894,-0.864747,-0.447012,-2.86475,-10.8091,-5.58617
-0.219531,-0.844769,-0.488028,-2.74414,-10.5614,-6.09724
-0.160568,-0.74938,-0.642377,-2.00502,-9.3655,-8.03227
-0.21774,-0.632578,-0.743259,-2.72309,-7.90545,-9.29186
-0.264416,-0.628542,-0.73145,-3.29905,-7.86165,-9.14115
-0.73973,-0.584513,-0.333383,-9.25165,-7.30576,-4.15726
-0.769292,-0.561435,-0.304928,-9.61926,-7.01526,-3.80867
-0.76342,-0.543913,-0.348351,-9.54602,-6.79989,-4.34567
-0.732323,-0.56629,-0.378178,-9.15706,-7.07761,-4.72289
-0.554853,-0.682241,-0.476115,-6.93542,-8.5287,-5.95072
-0.595846,-0.665556,-0.449448,-7.44829,-8.32076,-5.61586
-0.583538,-0.644298,-0.494331,-7.29312,-8.0541,-6.17995
-0.541752,-0.66026,-0.520156,-6.77304,-8.25275,-6.50139
-0.333386,-0.739726,-0.584516,-4.15726,-9.25165,-7.30576
-0.378175,-0.732322,-0.566294,-4.72289,-9.15706,-7.07761
-0.3628,-0.707438,-0.606554,-4.53002,-8.84497,-7.58256
-0.291298,-0.592105,-0.75137,-3.64109,-7.40191,-9.3917
-0.346165,-0.437043,-0.830158,-4.32744,-5.46175,-10.3775
-0.39247,-0.428368,-0.813921,-4.90662,-5.35424,-10.1738
-0.68224,-0.476117,-0.554853,-8.5287,-5.95072,-6.93542
-0.718228,-0.456792,-0.524872,-8.97746,-5.70969,-6.5616
-0.702338,-0.431077,-0.566474,-8.77932,-5.38911,-7.08032
-0.665551,-0.449455,-0.595846,-8.32076,-5.61586,-7.44829
-0.476116,-0.554851,-0.682242,-5.95072,-6.93542,-8.5287
-0.52016,-0.541744,-0.660263,-6.50139,-6.77304,-8.25275
-0.501115,-0.512263,-0.697474,-6.26246,-6.40206,-8.72039
-0.41464,-0.385419,-0.824334,-5.18496,-4.81017,-10.3067
-0.44701,-0.228894,-0.864748,-5.58619,-2.86475,-10.8091
-0.488032,-0.219529,-0.844767,-6.09725,-2.74414,-10.5614
-0.584515,-0.333388,-0.739726,-7.30576,-4.15726,-9.25165
-0.623714,-0.317874,-0.714099,-7.79445,-3.96577,-8.93136
-0.601339,-0.289679,-0.744633,-7.51865,-3.6164,-9.30815
-0.503609,-0.179004,-0.845184,-6.29546,-2.24424,-10.5632
-0.774235,-0.626274,0.0913332,-9.67681,-7.82965,1.14277
-0.749891,-0.657798,0.0704692,-9.36907,-8.22755,0.881961
-0.724489,-0.682655,0.0953796,-9.05644,-8.53234,1.19591
-0.632571,-0.743265,0.217742,-7.90545,-9.29186,2.72307
-0.602318,-0.773879,0.195769,-7.53545,-9.66895,2.44505
-0.565559,-0.794333,0.221762,-7.06994,-9.92887,2.77192
-0.437046,-0.830156,0.346167,-5.46175,-10.3775,4.32744
-0.401839,-0.856847,0.323015,-5.02224,-10.711,4.03747
-0.359206,-0.866719,0.346078,-4.48397,-10.8345,4.33097
-0.228894,-0.864747,0.447013,-2.86475,-10.8091,5.58619
-0.194645,-0.885023,0.422904,-2.43509,-11.0615,5.28814
-0.612396,-0.790551,3.10562e-10,-7.66371,-9.8751,6.04675e-16
-0.643411,-0.765124,-0.0246549,-8.04564,-9.56142,-0.311105
-0.611514,-0.789695,-0.0493227,-7.65135,-9.86555,-0.614671
-0.578341,-0.815415,-0.0249033,-7.23387,-10.1894,-0.312075
-0.421641,-0.897772,0.127376,-5.27102,-11.2217,1.59327
-0.462986,-0.88052,0.101627,-5.78911,-11.0054,1.2721
-0.42401,-0.902403,0.076716,-5.29912,-11.2804,0.959627
-0.382246,-0.918355,0.102528,-4.77906,-11.4791,1.28105
-0.20603,-0.945758,0.251183,-2.56932,-11.821,3.1485
-0.249133,-0.941158,0.228374,-3.11177,-11.7639,2.85966
-0.208832,-0.956552,0.203462,-2.60682,-11.9568,2.54759
-0.421639,-0.897772,-0.127376,-5.27102,-11.2217,-1.59327
-0.459772,-0.874976,-0.151745,-5.74651,-10.9375,-1.89714
-0.418191,-0.890862,-0.177433,-5.22779,-11.1356,-2.21772
-0.379409,-0.912446,-0.153268,-4.7429,-11.405,-1.9187
-0.215497,-0.976505,-1.7268e-07,-2.69305,-12.2064,7.47426e-16
-0.258072,-0.96578,-0.0258281,-3.22634,-12.0722,-0.321416
-0.214944,-0.97526,-0.05165,-2.68459,-12.1912,-0.646587
-0.206026,-0.945758,-0.251188,-2.56932,-11.821,-3.1485
-0.245774,-0.929375,-0.275421,-3.06566,-11.6171,-3.44879
-0.203725,-0.933081,-0.296405,-2.54616,-11.662,-3.70996
-0.188322,0.865978,-0.463268,-2.36212,10.8246,-5.78774
-0.147766,0.865575,-0.478482,-1.84905,10.8196,-5.9806
-0.179004,0.845184,-0.503609,-2.24424,10.5632,-6.29546
-0.46327,0.188317,-0.865978,-5.78774,2.36212,-10.8246
-0.478482,0.147766,-0.865575,-5.9806,1.84905,-10.8196
-0.503609,0.179004,-0.845184,-6.29546,2.24424,-10.5632
-0.488032,0.219529,-0.844767,-6.09724,2.74414,-10.5614
-0.369352,0.394479,-0.841407,-4.61882,4.92711,-10.5185
-0.390936,0.352348,-0.850306,-4.88584,4.40602,-10.6285
-0.414641,0.38542,-0.824333,-5.18496,4.81019,-10.3067
-0.392469,0.428374,-0.813919,-4.90662,5.35424,-10.1738
-0.243803,0.597609,-0.763822,-3.04512,7.47342,-9.54595
-0.270104,0.56003,-0.783205,-3.37555,7.00195,-9.78919
-0.291295,0.592107,-0.75137,-3.64109,7.40191,-9.3917
-0.264413,0.628542,-0.731451,-3.29904,7.86165,-9.14115
-0.116368,0.749606,-0.651574,-1.45987,9.36475,-8.14986
-0.141466,0.72328,-0.67591,-1.7705,9.03864,-8.45094
-0.16057,0.749383,-0.642372,-2.00501,9.3655,-8.03227
-0.219531,0.844769,-0.488028,-2.74414,10.5614,-6.09724
-0.394478,0.841406,-0.369356,-4.92711,10.5185,-4.61882
-0.35235,0.850304,-0.390938,-4.40602,10.6285,-4.88584
-0.38542,0.824333,-0.414641,-4.81017,10.3067,-5.18496
-0.584517,0.333386,-0.739726,-7.30576,4.15726,-9.25165
-0.601339,0.289679,-0.744633,-7.51865,3.6164,-9.30815
-0.623715,0.317874,-0.714098,-7.79445,3.96577,-8.93136
-0.606555,0.362801,-0.707437,-7.58256,4.53002,-8.84497
-0.476116,0.554854,-0.682239,-5.95072,6.93542,-8.5287
-0.50111,0.512265,-0.697477,-6.26246,6.40206,-8.72039
-0.520155,0.541752,-0.66026,-6.50139,6.77304,-8.25275
-0.494329,0.583539,-0.644299,-6.17995,7.29312,-8.0541
-0.333386,0.739726,-0.584516,-4.15726,9.25165,-7.30576
-0.362802,0.707438,-0.606553,-4.53002,8.84497,-7.58256
-0.378177,0.73232,-0.566295,-4.72289,9.15706,-7.07761
-0.428371,0.81392,-0.39247,-5.35424,10.1738,-4.90662
-0.597611,0.763821,-0.243801,-7.47341,9.54595,-3.04512
-0.560058,0.78318,-0.27012,-7.00195,9.7892,-3.37554
-0.592108,0.751368,-0.291296,-7.40191,9.3917,-3.64109
-0.682239,0.476119,-0.554852,-8.5287,5.95072,-6.93542
-0.702337,0.431076,-0.566477,-8.77932,5.38911,-7.08032
-0.718227,0.456792,-0.524872,-8.97746,5.70969,-6.5616
-0.697475,0.501109,-0.512268,-8.72039,6.26246,-6.40206
-0.554853,0.682241,-0.476115,-6.93542,8.5287,-5.95072
