"Points:0","Points:1","Points:2"
-2.4098,8.0851,-6.8946
-2.4848,8.1117,-7.003
-2.4957,8.1148,-6.9348
-2.4968,8.1157,-6.9003
-2.5268,8.123,-6.8805
-2.5582,8.1304,-6.8361
-2.5552,8.1326,-6.7926
-2.5835,8.1348,-6.8166
-2.5804,8.1375,-6.7758
-2.6066,8.138,-6.7986
-2.6223,8.1447,-6.7364
-2.6328,8.137,-6.8212
-2.6619,8.1444,-6.743
-2.6444,8.1526,-6.6777
-2.6834,8.1514,-6.6828
-2.701,8.1408,-6.7492
-2.7108,8.1463,-6.7012
-2.7291,8.1365,-6.7519
-2.7026,8.1316,-6.8265
-2.6728,8.1347,-6.8283
-2.6758,8.128,-6.9022
-2.6433,8.13,-6.9111
-2.6765,8.1238,-6.9586
-2.6436,8.1266,-6.9676
-2.6146,8.1287,-6.9467
-2.6136,8.126,-7.0081
-2.6439,8.1235,-7.0284
-2.5986,8.1237,-7.0897
-2.6581,8.119,-7.0929
-2.6839,8.1185,-7.024
-2.6979,8.1119,-7.0882
-2.6727,8.1136,-7.1601
-2.7036,8.1051,-7.1882
-2.7272,8.1027,-7.1114
-2.7221,8.1105,-7.0195
-2.7579,8.1011,-7.005
-2.7447,8.1112,-6.9408
-2.7145,8.1174,-6.9549
-2.7069,8.1243,-6.8934
-2.7374,8.1194,-6.8786
-2.7312,8.1268,-6.8245
-2.7613,8.1218,-6.808
-2.7667,8.1131,-6.864
-2.7827,8.1039,-6.8971
-2.8055,8.0986,-6.8722
-2.7919,8.1116,-6.8146
-2.8155,8.1029,-6.815
-2.8177,8.1104,-6.7637
-2.7904,8.119,-6.7688
-2.7559,8.1307,-6.7543
-2.7887,8.1272,-6.7222
-2.7689,8.1413,-6.6717
-2.7405,8.1444,-6.6863
-2.7507,8.1538,-6.6245
-2.7811,8.1543,-6.5935
-2.7599,8.1614,-6.5799
-2.7732,8.1685,-6.5393
-2.7943,8.1608,-6.5527
-2.8067,8.168,-6.5133
-2.7888,8.1759,-6.499
-2.797,8.1852,-6.461
-2.8149,8.1768,-6.4757
-2.8354,8.1648,-6.4971
-2.8147,8.1523,-6.5657
-2.8439,8.1477,-6.5478
-2.8225,8.1369,-6.6205
-2.8588,8.1284,-6.6004
-2.8762,8.1389,-6.5355
-2.8637,8.1605,-6.4806
-2.8857,8.1451,-6.5019
-2.8946,8.1535,-6.465
-2.886,8.1661,-6.439
-2.902,8.1628,-6.4298
-2.9231,8.1457,-6.4499
-2.9316,8.1554,-6.4134
-2.9515,8.1366,-6.4341
-2.9437,8.127,-6.471
-2.9715,8.1165,-6.4542
-2.9794,8.1271,-6.4157
-2.9595,8.1476,-6.396
-2.9787,8.1376,-6.3923
-2.9679,8.1587,-6.3596
-2.9403,8.1664,-6.3762
-2.9095,8.1731,-6.3946
-2.923,8.1913,-6.3378
-2.9487,8.1781,-6.3402
-2.9571,8.1911,-6.3041
-2.9323,8.2031,-6.3039
-2.9236,8.2157,-6.2856
-2.9053,8.2156,-6.3009
-2.8917,8.1965,-6.3548
-2.8718,8.2118,-6.3345
-2.8794,8.2253,-6.299
-2.8535,8.2339,-6.2962
-2.8459,8.2201,-6.332
-2.8261,8.2317,-6.3153
-2.8326,8.2462,-6.2795
-2.8043,8.2432,-6.2973
-2.7985,8.2288,-6.3342
-2.8194,8.218,-6.3522
-2.7922,8.2149,-6.3736
-2.778,8.2232,-6.3561
-2.7838,8.2372,-6.3182
-2.7634,8.2307,-6.3399
-2.7574,8.2175,-6.3781
-2.7428,8.2245,-6.3608
-2.7315,8.2121,-6.3998
-2.7602,8.1992,-6.4339
-2.7859,8.2025,-6.4123
-2.8125,8.2054,-6.3898
-2.8046,8.1949,-6.425
-2.7782,8.1923,-6.4484
-2.7704,8.1832,-6.4844
-2.7522,8.1897,-6.4699
-2.7363,8.1807,-6.5105
-2.7382,8.1677,-6.5659
-2.7011,8.1773,-6.5353
-2.7028,8.1654,-6.5926
-2.727,8.1602,-6.6087
-2.6929,8.1579,-6.6375
-2.7201,8.1525,-6.6555
-2.6661,8.1616,-6.6199
-2.666,8.1692,-6.5767
-2.6258,8.1643,-6.5922
-2.6438,8.1583,-6.6376
-2.6209,8.1543,-6.6558
-2.6216,8.1494,-6.695
-2.5997,8.1564,-6.6251
-2.5793,8.1575,-6.5954
-2.6051,8.1673,-6.5607
-2.5832,8.1674,-6.5392
-2.5587,8.1611,-6.5455
-2.5638,8.1718,-6.4929
-2.538,8.1611,-6.5132
-2.5423,8.1701,-6.4718
-2.517,8.1584,-6.4905
-2.5141,8.1641,-6.455
-2.5398,8.1768,-6.4365
-2.5653,8.1887,-6.4175
-2.5646,8.1797,-6.4557
-2.5938,8.1914,-6.4345
-2.5837,8.2007,-6.3892
-2.6194,8.2062,-6.3959
-2.6087,8.2167,-6.3532
-2.5736,8.2103,-6.346
-2.5552,8.1972,-6.3731
-2.548,8.2099,-6.3205
-2.583,8.2354,-6.2775
-2.5936,8.224,-6.3192
-2.6136,8.2378,-6.2929
-2.6067,8.26,-6.2307
-2.6259,8.2518,-6.2626
-2.6451,8.2554,-6.2627
-2.6381,8.2663,-6.2329
-2.6695,8.2709,-6.2346
-2.6589,8.2816,-6.2068
-2.6694,8.2955,-6.1805
-2.6483,8.2923,-6.1794
-2.6788,8.3099,-6.1544
-2.6645,8.3221,-6.1258
-2.642,8.3043,-6.1515
-2.624,8.2888,-6.1749
-2.6276,8.2762,-6.2048
-2.5992,8.2842,-6.17
-2.5763,8.2572,-6.2152
-2.5652,8.2718,-6.1717
-2.5481,8.2529,-6.2003
-2.5531,8.2313,-6.2618
-2.525,8.2277,-6.2404
-2.5232,8.2083,-6.2953
-2.5302,8.1959,-6.3462
-2.4926,8.1843,-6.3307
-2.4954,8.2025,-6.2737
-2.4815,8.1878,-6.2986
-2.4557,8.1659,-6.3271
-2.467,8.1642,-6.3589
-2.4895,8.1696,-6.3828
-2.5208,8.1829,-6.3824
-2.5118,8.1712,-6.4172
-2.537,8.1843,-6.4002
-2.4861,8.1567,-6.4349
-2.475,8.1427,-6.4846
-2.4631,8.1428,-6.4515
-2.4634,8.1507,-6.4114
-2.4408,8.1352,-6.4283
-2.44,8.1278,-6.4686
-2.4178,8.1219,-6.4252
-2.4045,8.1067,-6.4661
-2.3848,8.0995,-6.4211
-2.3724,8.0848,-6.4575
-2.3911,8.0925,-6.507
-2.4267,8.1157,-6.4995
-2.3589,8.0695,-6.4972
-2.3498,8.065,-6.4672
-2.366,8.0858,-6.4123
-2.3425,8.0627,-6.4291
-2.3276,8.0435,-6.4773
-2.3477,8.0596,-6.5029
-2.3092,8.0245,-6.4791
-2.3194,8.0377,-6.4486
-2.3116,8.0319,-6.4199
-2.3355,8.0606,-6.3918
-2.3175,8.0448,-6.3645
-2.2967,8.0135,-6.4289
-2.2816,7.9928,-6.4593
-2.3406,8.074,-6.337
-2.3594,8.0875,-6.3653
-2.3599,8.0954,-6.3242
-2.3775,8.1015,-6.3743
-2.3808,8.1165,-6.3123
